Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Linha
411016,MOCA Leite Condensado NPro 4x5kg XW     ,0402.99.00      ,7891000101605,,17891000010164,521,01-NP Lácteos,3,01c-Condensados,Food
411059,MOCA Leite Condensado NPro 6x2 6kg XW   ,0402.99.00      ,7891000004180,,17891000003579,521,01-NP Lácteos,3,01c-Condensados,Food
411522,MOCA Beijinho NPro 6x2400g XW           ,1901.90.90      ,7891000004197,,17891000003586,521,01-NP Lácteos,1,01a-Top Lácteos,Food
411524,MOCA Doce de Leite NPro 6x2 540g XW     ,1901.90.20      ,7891000004210,,17891000003609,521,01-NP Lácteos,1,01a-Top Lácteos,Food
411526,MOCA Chocolate NPro 6x2 540kg XW        ,1806.20.00      ,7891000004234,,17891000003623,521,01-NP Lácteos,1,01a-Top Lácteos,Food
411686,NESTLE Calda Choc Mamgo NPro 5x3kg BR   ,1806.20.00      ,7891000168608,,17891000016869,524,04-NP Sobremesas,2,04b-Demais Sobremesas,Food
412227,MAGGI Pure de Batatas NPro 6x400g XW    ,1105.20.00      ,7891000010440,,17891000008611,523,03-NP Culinários,5,03e-MAGGI Meals,Food
412234,NESTLE Cob Chocolate Diet NPro 500g XR  ,1806.32.10      ,7891000010433,,17891000008604,522,02-NP Chocolates,2,02b-Cobertura Nobre,Food
413522,NESTLE Chocolate Mousse NPro 8x500g BR  ,1806.90.00      ,7891000010945,,17891000008932,524,04-NP Sobremesas,2,04b-Demais Sobremesas,Food
413724,NESCAU Caixa NPro 3x3kg XR              ,1806.90.00EX01  ,7891000372401,,17891000037246,526,06-NP Standard,1,06a-Achoc Po,Food
414529,NESTLE Choc Po Solu 50  NPro 6x2kg XR   ,1806.10.00      ,7891000452905,,17891000045296,522,02-NP Chocolates,4,02d-Chocolate Pó,Food
414530,Chocolate Po 50  NPro 25kg BR           ,1806.10.00      ,7891000453001,,7891000453001,522,02-NP Chocolates,4,02d-Chocolate Pó,Food
414582,NESTLE Choc Po Solu 32  NPro 6x2kg XR   ,1806.10.00      ,7891000458204,,17891000045821,522,02-NP Chocolates,4,02d-Chocolate Pó,Food
414583,NESTLE Choc Po Soluvel S32  NPro 25kg XR,1806.10.00      ,7891000458303,,7891000458303,522,02-NP Chocolates,4,02d-Chocolate Pó,Food
415328,MAGGI Creme de Cebola NPro 6x1kg XW     ,2104.10.11      ,7891000532805,,17891000053284,523,03-NP Culinários,5,03e-MAGGI Meals,Food
415533,MOCA LeiteCondensadoRech NPro 6x2 6kg XW,0402.99.00      ,7891000027387,,7891000027394,521,01-NP Lácteos,1,01a-Top Lácteos,Food
419489,NEGRESCO Bisc Granulado NPro 6x1000g XR ,1905.31.00      ,7891000948903,,17891000094898,525,05-NP Biscoitos,1,05a-Biscoitos,Food
12073778,NESTLE NPro Cob Rech Ganache 6x2 330kgBR,1806.20.00      ,7891000062234,,7891000062241,522,02-NP Chocolates,5,02e-Ganache,Food
12133006,MOCA Doce de Leite NPro 5x3kg BR        ,1901.90.20      ,7891000077177,,7891000077184,521,01-NP Lácteos,1,01a-Top Lácteos,Food
12133009,NESTLE Nestilly UHT NPro 12x1kg BR      ,0401.50.21      ,7891000027448,,7891000027455,521,01-NP Lácteos,2,01b-Cremes,Food
12133134,NESTLE Creme de Leite UHT NPro 12x1kg BR,0401.50.21      ,7891000121702,,17891000012175,521,01-NP Lácteos,2,01b-Cremes,Food
12168360,MAGGI FONDOR Tempero NPro 6x1 1kg BR    ,2103.90.29      ,7891000085431,,7891000085448,523,03-NP Culinários,3,03c-MAGGI Temperos,Food
12168361,MAGGI Amaciante de Carne NPro 6x1 1kg BR,3507.90.26      ,7891000085455,,7891000085462,523,03-NP Culinários,3,03c-MAGGI Temperos,Food
12168362,MAGGI GRIL Tempero NPro 6x1 1kg BR      ,2103.90.29      ,7891000085479,,7891000085486,523,03-NP Culinários,3,03c-MAGGI Temperos,Food
12171854,NESTLE CremedeLeite Light NPro 12x1kg BR,0401.50.21      ,7891000086551,,7891000086568,521,01-NP Lácteos,2,01b-Cremes,Food
12188148,MAGGI Tempero Refoga NPro 6x1 1kg BR    ,2103.90.29      ,7891000090336,,7891000090343,523,03-NP Culinários,3,03c-MAGGI Temperos,Food
12209621,MOCA Recheio Morango NPro 6x2 6kg BR    ,1901.90.90      ,7891000095348,,7891000095355,521,01-NP Lácteos,1,01a-Top Lácteos,Food
12220263,MOCA Brigadeiro NPro 6x2 570kg BR       ,1901.90.90      ,7891000004227,,17891000003616,521,01-NP Lácteos,1,01a-Top Lácteos,Food
12255799,NESTLE Cob Chocolate Marfim NPro12x1kgBR,1704.90.10      ,7891000104866,,7891000104873,522,02-NP Chocolates,1,02a-Cobertura Regular,Food
12255810,NESTLE Cob Chocolate Blend NPro 12x1kgBR,1806.32.10      ,7891000104804,,7891000104811,522,02-NP Chocolates,1,02a-Cobertura Regular,Food
12255811,NESTLE Cob Chocolate Leite Npro 12x1kgBR,1806.32.10      ,7891000104828,,7891000104835,522,02-NP Chocolates,1,02a-Cobertura Regular,Food
12255812,NESTLE Cob Chocolate Mamgo NPro 12x1kgBR,1806.32.10      ,7891000104842,,7891000104859,522,02-NP Chocolates,1,02a-Cobertura Regular,Food
12267768,NESTLE Creme de Lei Lata NPro 48x300g BR,0401.50.29      ,7891000107331,,7891000107348,521,01-NP Lácteos,2,01b-Cremes,Food
12318446,CHARGE Recheio NPro 6x2 4kg BR          ,1806.20.00      ,7891000119938,,7891000119945,521,01-NP Lácteos,1,01a-Top Lácteos,Food
12320781,MAGGI Caldo de Galinha NPro 6x1 01kg BR ,2104.10.19      ,7891000120163,,7891000120170,523,03-NP Culinários,2,03b-MAGGI Caldos,Food
