Empresa,Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Cadastras
NESTLE,142145,ALFARE DS080-1 6x400g MX                ,,8717405008471,,8717405008815,,,,,Não
NESTLE,142446,ALTHERA DS079-2 6x450g BR               ,,8717405012249,,8717405012232,112,HEALTH SCIENCE,75,DEMAIS HCN,Não
NESTLE,411002,MOCA Leite Cond Trad Lata 48x395g XW    ,0402.99.00      ,7891000100103,,17891000010010,,,,,Não
NESTLE,411009,MOCA Leite Cond Desn Lata 48x395g BR    ,0402.99.00      ,7891000100905,,17891000010096,,,,,Não
NESTLE,411016,MOCA Leite Condensado NPro 4x5kg XW     ,0402.99.00      ,7891000101605,,17891000010164,521,01-NP Lácteos,3,01c-Condensados,Sim
NESTLE,411017,NESTLE Base Lactea Chocolate 1kg BR     ,0403.90.00EX01  ,,,,,,,,Não
NESTLE,411025,MOCINHA Tradicional Stick 6x35g N1BR    ,0402.99.00      ,7891000102510,7891000102503,17891000010256,,,,,Não
NESTLE,411029,MILKMAID Swt Cond Milk 48x395g XG       ,0402.99.00      ,7616100043347,,7891000023792,,,,,Não
NESTLE,411034,NESTLE SCM Regular Easy Open 48x395g XA ,0402.99.00      ,7616100071401,,7891000084489,,,,,Não
NESTLE,411035,LA CAMPESINA Leite Condensado 24x395g VE,0402.99.00      ,7891000019108,,7891000019115,,,,,Não
NESTLE,411042,NESTLE Swetened Condensed Milk 48x395 XI,0402.99.00      ,7891000007570,,17891000006297,,,,,Não
NESTLE,411043,NESTLE Swt Cond Milk 48x397g ZA         ,0402.99.00      ,7891000007808,,17891000006495,,,,,Não
NESTLE,411058,NESTON Cer Barra Lt Bna Choc 30x75g BR  ,1904.20.00      ,7891000013182,,7891000013243,,,,,Não
NESTLE,411059,MOCA Leite Condensado NPro 6x2 6kg XW   ,0402.99.00      ,7891000004180,,17891000003579,521,01-NP Lácteos,3,01c-Condensados,Sim
NESTLE,411068,NESTLE Lactose Seeding Bulk 25kg BR     ,1702.19.00      ,7891000032961,,                  ,,,,,Não
NESTLE,411070,Leite Condensado Granel 1Kg BR          ,0402.99.00      ,,,,,,,,Não
NESTLE,411072,NESTON Barra Lt Maca Canela12 24x25g  BR,1904.20.00      ,7891000013090,7891000013106,7891000013113,,,,,Não
NESTLE,411075,NESCAU Cereal Matinal 20x270g BR        ,1904.10.00      ,7891000008119,,17891000006761,107,CEREAIS MATINAIS,47,NESCAU CEREAL,Não
NESTLE,411082,LA LECHERA SCM 48x395g XU               ,0402.99.00      ,7460123401406,,17891000002237,,,,,Não
NESTLE,411083,NESTLE Leite Condensado 48x395g XU      ,0402.99.00      ,7891000108000,,17891000010805,,,,,Não
NESTLE,411085,NESTLE Leite Condensado 48x395g XW      ,0402.99.00      ,7790430010177,,17891000002152,,,,,Não
NESTLE,411086,B B Red Leite Condensado 48x395g XW     ,0402.99.00      ,7616100805068,,7891000019481,,,,,Não
NESTLE,411087,NESTLE Leite Condensado 24x395g XW      ,0402.99.00      ,7790430010146,,17790430010143,,,,,Não
NESTLE,411131,NESCAFE CLASSIC Vending 6x500g BR       ,2101.11.10      ,7891000008461,,17891000007096,,,,,Não
NESTLE,411138,NESTLE Creme de Leite 48x300g XW        ,0401.50.29      ,7802950002577,,17802950002574,,,,,Não
NESTLE,411139,NESTLE Creme de Leite 48x160g XW        ,0401.50.29      ,7802950001310,,17802950001317,,,,,Não
NESTLE,411155,MAGGI Magic Chef Galinha 42 7x10g  XP   ,2103.90.21      ,                  ,,17891000007164,,,,,Não
NESTLE,411201,NESTLE Creme de Leite Lata 48x300g BR   ,0401.50.29      ,7891000120101,,17891000012014,114,LEITES CULINARIOS,98,CREME LATA,Sim
NESTLE,411212,NESTLE Creme de Leite Lt Lata 48x290g BR,0401.50.29      ,7891000121207,,17891000012120,114,LEITES CULINARIOS,98,CREME LATA,Não
NESTLE,411236,NESTLE Creme Leite BIB NPro 1x10kg XW   ,0401.50.29      ,17891000012366,,7891000266984,,,,,Não
NESTLE,411262,CLASSIC Choc Especial 24x244g BR        ,1806.32.10      ,7891000012567,,7891000012574,,,,,Não
NESTLE,411269,NESTLE Creme de Leite Uht 27x200g BR    ,0401.50.21      ,7891000126905,,17891000012694,114,LEITES CULINARIOS,99,CREME TP,Sim
NESTLE,411274,NESTLE Creme de Leite Lt UHT 27x200g BR ,0401.50.21      ,7891000127407,,17891000012748,,,,,Não
NESTLE,411286,NESTLE Creme de Leite 48x300g N1 XW     ,0401.50.29      ,7891000005422,,17891000004392,,,,,Não
NESTLE,411296,NESTLE Creme Leite 48x300g XK           ,0401.50.29      ,7891000120101,,17891000012014,,,,,Não
NESTLE,411313,NUTREN 1.0 Isento de Sabor 24x250ml BR  ,2106.90.90      ,7891000008485,,798716232319,,,,,Não
NESTLE,411315,NESQUIK Cereal Matinal 20x270g XW       ,1904.10.00      ,7891000008478,,17891000007102,,,,,Não
NESTLE,411333,NESTLE Creme de Leite 24x240g US        ,0401.50.29      ,28000517601,,10028000517608,,,,,Não
NESTLE,411382,NEGRESCO Bisc Rech Multipack 24x240g BR ,1905.31.00      ,7891000008881,,17891000007355,,,,,Não
NESTLE,411388,SALCLIC Bisc Orgl Multipack 36x180g BR  ,1905.31.00      ,7891000008966,,17891000007393,,,,,Não
NESTLE,411403,NINHO Leite em Po Integral 24x400g BR   ,0402.21.10      ,7891000140307,,17891000014032,113,LEITE EM PO,95,NINHO TRAD/INST LATA,Sim
NESTLE,411422,NINHO Leite em Po Inst 24x400g BR       ,0402.21.10      ,7891000142202,,17891000014223,113,LEITE EM PO,95,NINHO TRAD/INST LATA,Sim
NESTLE,411431,NINHO Fases 3  Leite em Po 24x400g BR   ,1901.10.10      ,7891000003404,,17891000003142,,,,,Não
